REGION,TERRITORIO
41 METRO SURORIENTE,4104 TLALPAN
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
52 VALLE DE TOLUCA,5205 ATLACOMULCO
42 SUR,4204 QUECHULTENANGO
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
60 PUEBLA,6003 ZACAPOAXTLA
60 PUEBLA,6002 PUEBLA
62 PENINSULA,6203 MERIDA
51 METRO PONIENTE,5104 HUIXQUILUCAN
10 FRONTERA OESTE,1002 MEXICALI
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
10 FRONTERA OESTE,1001 TIJUANA
33 BAJIO,3305 QUERÉTARO
30 COSTA OCCIDENTE,3003 OCOTLAN
51 METRO PONIENTE,5102 IZTACALCO
12 LAGUNA CHIHUAHUA,1201 DURANGO
51 METRO PONIENTE,5102 IZTACALCO
42 SUR,4206 PUNGARABATO
60 PUEBLA,6002 PUEBLA
32 MICHOACÁN,3204 PATZCUARO
32 MICHOACÁN,3203 ZACAPU
60 PUEBLA,6001 TEHUACAN
62 PENINSULA,6204 UMAN
41 METRO SURORIENTE,4107 XOCHIMILCO
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
52 VALLE DE TOLUCA,5203 LERMA
51 METRO PONIENTE,5106 NAUCALPAN
51 METRO PONIENTE,5104 HUIXQUILUCAN
30 COSTA OCCIDENTE,3003 OCOTLAN
63 GOLFO,6304 HUIMANGUILLO
62 PENINSULA,6203 MERIDA
20 NORESTE,2003 MONTERREY
52 VALLE DE TOLUCA,5201 TOLUCA
32 MICHOACÁN,3204 PATZCUARO
63 GOLFO,6301 ACAYUCAN
10 FRONTERA OESTE,1002 MEXICALI
52 VALLE DE TOLUCA,5204 TIANGUISTENCO
42 SUR,4203 CUAUTLA
32 MICHOACÁN,3203 ZACAPU
32 MICHOACÁN,3202 URUAPAN
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
60 PUEBLA,6002 PUEBLA
62 PENINSULA,6201 CANCUN
41 METRO SURORIENTE,4104 TLALPAN
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
11 PACIFICO,1104 TEPIC
40 METRO ORIENTE,4006 ECATEPEC
41 METRO SURORIENTE,4101 IZTAPALAPA
33 BAJIO,3303 IRAPUATO
20 NORESTE,2005 ESCOBEDO
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
33 BAJIO,3305 QUERÉTARO
63 GOLFO,6302 COATZACOALCOS
42 SUR,4203 CUAUTLA
31 JALISCO,3105 TLAQUEPAQUE
51 METRO PONIENTE,5106 NAUCALPAN
33 BAJIO,3303 IRAPUATO
51 METRO PONIENTE,5101 CUAUHTEMOC
20 NORESTE,2007 POZA RICA
60 PUEBLA,6005 ORIZABA
33 BAJIO,3303 IRAPUATO
10 FRONTERA OESTE,1004 HERMOSILLO
62 PENINSULA,6205 PLAYA DEL CARMEN
50 METRO NORPONIENTE,5003 TLALNEPANTLA
30 COSTA OCCIDENTE,3002 JALISCO SUR
30 COSTA OCCIDENTE,3004 COLIMA
41 METRO SURORIENTE,4107 XOCHIMILCO
33 BAJIO,3305 QUERÉTARO
52 VALLE DE TOLUCA,5207 TEXMELUCAN
40 METRO ORIENTE,4005 ACOLMAN
20 NORESTE,2002 GUADALUPE
12 LAGUNA CHIHUAHUA,1203 JUAREZ
21 HUASTECA,2103 SAN LUIS FORANEO
30 COSTA OCCIDENTE,3003 OCOTLAN
42 SUR,4207 TLACOLULA
21 HUASTECA,2105 TULA
20 NORESTE,2003 MONTERREY
61 CHIAPAS,6101 TUXTLA
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
62 PENINSULA,6202 CAMPECHE
33 BAJIO,3301 LEON
42 SUR,4207 TLACOLULA
60 PUEBLA,6004 VERACRUZ
11 PACIFICO,1103 MAZATLAN CULIACAN
21 HUASTECA,2105 TULA
62 PENINSULA,6202 CAMPECHE
62 PENINSULA,6204 UMAN
11 PACIFICO,1101 LA PAZ
40 METRO ORIENTE,4006 ECATEPEC
32 MICHOACÁN,3201 MORELIA
33 BAJIO,3305 QUERÉTARO
33 BAJIO,3305 QUERÉTARO
61 CHIAPAS,6101 TUXTLA
61 CHIAPAS,6101 TUXTLA
31 JALISCO,3103 GUADALAJARA
20 NORESTE,2004 SAN PEDRO GARZA
42 SUR,4208 OAXACA
31 JALISCO,3103 GUADALAJARA
63 GOLFO,6302 COATZACOALCOS
30 COSTA OCCIDENTE,3004 COLIMA
42 SUR,4208 OAXACA
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
31 JALISCO,3105 TLAQUEPAQUE
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
31 JALISCO,3103 GUADALAJARA
12 LAGUNA CHIHUAHUA,1205 COAHUILA
61 CHIAPAS,6102 TAPACHULA
42 SUR,4203 CUAUTLA
12 LAGUNA CHIHUAHUA,1205 COAHUILA
60 PUEBLA,6006 XALAPA
32 MICHOACÁN,3204 PATZCUARO
42 SUR,4208 OAXACA
61 CHIAPAS,6102 TAPACHULA
61 CHIAPAS,6103 MEZCALAPA
20 NORESTE,2001 REYNOSA
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
21 HUASTECA,2106 PACHUCA
42 SUR,4207 TLACOLULA
20 NORESTE,2005 ESCOBEDO
21 HUASTECA,2106 PACHUCA
61 CHIAPAS,6101 TUXTLA
11 PACIFICO,1101 LA PAZ
33 BAJIO,3301 LEON
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
21 HUASTECA,2106 PACHUCA
21 HUASTECA,2101 AGUASCALIENTES
63 GOLFO,6301 ACAYUCAN
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
41 METRO SURORIENTE,4104 TLALPAN
20 NORESTE,2001 REYNOSA
61 CHIAPAS,6104 JUCHITAN
20 NORESTE,2003 MONTERREY
50 METRO NORPONIENTE,5002 ATIZAPAN
61 CHIAPAS,6101 TUXTLA
51 METRO PONIENTE,5103 BENITO JUAREZ
11 PACIFICO,1102 SINALOA
50 METRO NORPONIENTE,5004 COACALCO
61 CHIAPAS,6103 MEZCALAPA
20 NORESTE,2001 REYNOSA
61 CHIAPAS,6102 TAPACHULA
10 FRONTERA OESTE,1002 MEXICALI
10 FRONTERA OESTE,1001 TIJUANA
52 VALLE DE TOLUCA,5202 VALLE DE BRAVO
52 VALLE DE TOLUCA,5201 TOLUCA
11 PACIFICO,1101 LA PAZ
42 SUR,4204 QUECHULTENANGO
12 LAGUNA CHIHUAHUA,1203 JUAREZ
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
41 METRO SURORIENTE,4104 TLALPAN
61 CHIAPAS,6101 TUXTLA
61 CHIAPAS,6103 MEZCALAPA
12 LAGUNA CHIHUAHUA,1202 TORREON
21 HUASTECA,2101 AGUASCALIENTES
51 METRO PONIENTE,5106 NAUCALPAN
60 PUEBLA,6005 ORIZABA
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
21 HUASTECA,2101 AGUASCALIENTES
41 METRO SURORIENTE,4102 ALVARO OBREGON
60 PUEBLA,6006 XALAPA
60 PUEBLA,6004 VERACRUZ
50 METRO NORPONIENTE,5004 COACALCO
33 BAJIO,3305 QUERÉTARO
21 HUASTECA,2103 SAN LUIS FORANEO
40 METRO ORIENTE,4004 TEXCOCO
40 METRO ORIENTE,4005 ACOLMAN
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
42 SUR,4201 CUERNAVACA
50 METRO NORPONIENTE,5002 ATIZAPAN
51 METRO PONIENTE,5104 HUIXQUILUCAN
20 NORESTE,2008 MARTINEZ DE LA TORRE
61 CHIAPAS,6104 JUCHITAN
12 LAGUNA CHIHUAHUA,1201 DURANGO
50 METRO NORPONIENTE,5002 ATIZAPAN
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
41 METRO SURORIENTE,4107 XOCHIMILCO
42 SUR,4208 OAXACA
42 SUR,4205 ACAPULCO
31 JALISCO,3102 ZAPOPAN
30 COSTA OCCIDENTE,3003 OCOTLAN
33 BAJIO,3305 QUERÉTARO
10 FRONTERA OESTE,1001 TIJUANA
50 METRO NORPONIENTE,5002 ATIZAPAN
40 METRO ORIENTE,4005 ACOLMAN
52 VALLE DE TOLUCA,5201 TOLUCA
41 METRO SURORIENTE,4105 TLAHUAC
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
51 METRO PONIENTE,5102 IZTACALCO
61 CHIAPAS,6101 TUXTLA
52 VALLE DE TOLUCA,5203 LERMA
51 METRO PONIENTE,5105 TECAMAC
52 VALLE DE TOLUCA,5207 TEXMELUCAN
42 SUR,4205 ACAPULCO
21 HUASTECA,2105 TULA
50 METRO NORPONIENTE,5003 TLALNEPANTLA
21 HUASTECA,2105 TULA
21 HUASTECA,2106 PACHUCA
42 SUR,4205 ACAPULCO
33 BAJIO,3301 LEON
42 SUR,4202 JIUTEPEC
11 PACIFICO,1101 LA PAZ
41 METRO SURORIENTE,4106 CHALCO
20 NORESTE,2003 MONTERREY
40 METRO ORIENTE,4002 NEZAHUALCOYOTL
31 JALISCO,3101 ALTOS JALISCO
41 METRO SURORIENTE,4107 XOCHIMILCO
33 BAJIO,3305 QUERÉTARO
52 VALLE DE TOLUCA,5201 TOLUCA
11 PACIFICO,1103 MAZATLAN CULIACAN
42 SUR,4203 CUAUTLA
10 FRONTERA OESTE,1001 TIJUANA
52 VALLE DE TOLUCA,5201 TOLUCA
12 LAGUNA CHIHUAHUA,1202 TORREON
61 CHIAPAS,6101 TUXTLA
50 METRO NORPONIENTE,5003 TLALNEPANTLA
21 HUASTECA,2105 TULA
41 METRO SURORIENTE,4107 XOCHIMILCO
40 METRO ORIENTE,4005 ACOLMAN
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
11 PACIFICO,1101 LA PAZ
60 PUEBLA,6004 VERACRUZ
33 BAJIO,3303 IRAPUATO
21 HUASTECA,2101 AGUASCALIENTES
51 METRO PONIENTE,5101 CUAUHTEMOC
42 SUR,4207 TLACOLULA
42 SUR,4203 CUAUTLA
50 METRO NORPONIENTE,5002 ATIZAPAN
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
12 LAGUNA CHIHUAHUA,1205 COAHUILA
42 SUR,4207 TLACOLULA
33 BAJIO,3304 CELAYA
31 JALISCO,3104 TONALA
40 METRO ORIENTE,4005 ACOLMAN
30 COSTA OCCIDENTE,3003 OCOTLAN
61 CHIAPAS,6103 MEZCALAPA
20 NORESTE,2005 ESCOBEDO
60 PUEBLA,6004 VERACRUZ
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
50 METRO NORPONIENTE,5001 CUAUTITLAN IZCALLI
41 METRO SURORIENTE,4101 IZTAPALAPA
40 METRO ORIENTE,4002 NEZAHUALCOYOTL
51 METRO PONIENTE,5105 TECAMAC
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
62 PENINSULA,6203 MERIDA
32 MICHOACÁN,3203 ZACAPU
60 PUEBLA,6002 PUEBLA
42 SUR,4203 CUAUTLA
32 MICHOACÁN,3203 ZACAPU
20 NORESTE,2008 MARTINEZ DE LA TORRE
21 HUASTECA,2105 TULA
32 MICHOACÁN,3204 PATZCUARO
41 METRO SURORIENTE,4104 TLALPAN
50 METRO NORPONIENTE,5002 ATIZAPAN
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
21 HUASTECA,2105 TULA
50 METRO NORPONIENTE,5003 TLALNEPANTLA
40 METRO ORIENTE,4003 CHIMALHUACAN
52 VALLE DE TOLUCA,5207 TEXMELUCAN
33 BAJIO,3305 QUERÉTARO
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
62 PENINSULA,6202 CAMPECHE
20 NORESTE,2005 ESCOBEDO
51 METRO PONIENTE,5103 BENITO JUAREZ
21 HUASTECA,2102 SAN LUIS POTOSÍ
12 LAGUNA CHIHUAHUA,1202 TORREON
41 METRO SURORIENTE,4103 COYOACAN
31 JALISCO,3103 GUADALAJARA
42 SUR,4204 QUECHULTENANGO
63 GOLFO,6304 HUIMANGUILLO
32 MICHOACÁN,3201 MORELIA
41 METRO SURORIENTE,4102 ALVARO OBREGON
11 PACIFICO,1101 LA PAZ
62 PENINSULA,6204 UMAN
63 GOLFO,6302 COATZACOALCOS
40 METRO ORIENTE,4006 ECATEPEC
31 JALISCO,3104 TONALA
20 NORESTE,2005 ESCOBEDO
40 METRO ORIENTE,4005 ACOLMAN
20 NORESTE,2007 POZA RICA
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
40 METRO ORIENTE,4004 TEXCOCO
63 GOLFO,6302 COATZACOALCOS
61 CHIAPAS,6101 TUXTLA
11 PACIFICO,1101 LA PAZ
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
61 CHIAPAS,6101 TUXTLA
33 BAJIO,3303 IRAPUATO
63 GOLFO,6303 VILLAHERMOSA
40 METRO ORIENTE,4004 TEXCOCO
10 FRONTERA OESTE,1004 HERMOSILLO
33 BAJIO,3301 LEON
63 GOLFO,6301 ACAYUCAN
60 PUEBLA,6005 ORIZABA
41 METRO SURORIENTE,4107 XOCHIMILCO
63 GOLFO,6304 HUIMANGUILLO
30 COSTA OCCIDENTE,3003 OCOTLAN
40 METRO ORIENTE,4002 NEZAHUALCOYOTL
40 METRO ORIENTE,4002 NEZAHUALCOYOTL
21 HUASTECA,2104 ZACATECAS
52 VALLE DE TOLUCA,5201 TOLUCA
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
21 HUASTECA,2106 PACHUCA
40 METRO ORIENTE,4003 CHIMALHUACAN
41 METRO SURORIENTE,4101 IZTAPALAPA
60 PUEBLA,6002 PUEBLA
11 PACIFICO,1101 LA PAZ
33 BAJIO,3301 LEON
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
21 HUASTECA,2106 PACHUCA
60 PUEBLA,6002 PUEBLA
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
41 METRO SURORIENTE,4104 TLALPAN
41 METRO SURORIENTE,4106 CHALCO
51 METRO PONIENTE,5103 BENITO JUAREZ
50 METRO NORPONIENTE,5001 CUAUTITLAN IZCALLI
41 METRO SURORIENTE,4104 TLALPAN
61 CHIAPAS,6103 MEZCALAPA
30 COSTA OCCIDENTE,3004 COLIMA
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
31 JALISCO,3105 TLAQUEPAQUE
20 NORESTE,2001 REYNOSA
33 BAJIO,3305 QUERÉTARO
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
33 BAJIO,3301 LEON
10 FRONTERA OESTE,1001 TIJUANA
41 METRO SURORIENTE,4105 TLAHUAC
40 METRO ORIENTE,4005 ACOLMAN
60 PUEBLA,6002 PUEBLA
60 PUEBLA,6003 ZACAPOAXTLA
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
60 PUEBLA,6005 ORIZABA
20 NORESTE,2002 GUADALUPE
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
51 METRO PONIENTE,5106 NAUCALPAN
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
20 NORESTE,2006 TAMPICO
52 VALLE DE TOLUCA,5203 LERMA
51 METRO PONIENTE,5106 NAUCALPAN
40 METRO ORIENTE,4004 TEXCOCO
20 NORESTE,2002 GUADALUPE
10 FRONTERA OESTE,1004 HERMOSILLO
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
11 PACIFICO,1104 TEPIC
11 PACIFICO,1103 MAZATLAN CULIACAN
42 SUR,4208 OAXACA
62 PENINSULA,6203 MERIDA
52 VALLE DE TOLUCA,5203 LERMA
33 BAJIO,3304 CELAYA
40 METRO ORIENTE,4004 TEXCOCO
61 CHIAPAS,6104 JUCHITAN
21 HUASTECA,2107 TULANCINGO
21 HUASTECA,2106 PACHUCA
63 GOLFO,6303 VILLAHERMOSA
21 HUASTECA,2104 ZACATECAS
11 PACIFICO,1102 SINALOA
51 METRO PONIENTE,5106 NAUCALPAN
42 SUR,4207 TLACOLULA
61 CHIAPAS,6101 TUXTLA
52 VALLE DE TOLUCA,5201 TOLUCA
61 CHIAPAS,6101 TUXTLA
41 METRO SURORIENTE,4102 ALVARO OBREGON
20 NORESTE,2007 POZA RICA
10 FRONTERA OESTE,1001 TIJUANA
21 HUASTECA,2106 PACHUCA
30 COSTA OCCIDENTE,3003 OCOTLAN
11 PACIFICO,1103 MAZATLAN CULIACAN
63 GOLFO,6302 COATZACOALCOS
20 NORESTE,2004 SAN PEDRO GARZA
60 PUEBLA,6004 VERACRUZ
21 HUASTECA,2101 AGUASCALIENTES
41 METRO SURORIENTE,4102 ALVARO OBREGON
51 METRO PONIENTE,5105 TECAMAC
12 LAGUNA CHIHUAHUA,1205 COAHUILA
42 SUR,4201 CUERNAVACA
60 PUEBLA,6002 PUEBLA
31 JALISCO,3103 GUADALAJARA
32 MICHOACÁN,3203 ZACAPU
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
31 JALISCO,3101 ALTOS JALISCO
11 PACIFICO,1101 LA PAZ
41 METRO SURORIENTE,4101 IZTAPALAPA
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
10 FRONTERA OESTE,1001 TIJUANA
42 SUR,4204 QUECHULTENANGO
51 METRO PONIENTE,5101 CUAUHTEMOC
41 METRO SURORIENTE,4107 XOCHIMILCO
32 MICHOACÁN,3204 PATZCUARO
50 METRO NORPONIENTE,5002 ATIZAPAN
51 METRO PONIENTE,5103 BENITO JUAREZ
31 JALISCO,3101 ALTOS JALISCO
21 HUASTECA,2103 SAN LUIS FORANEO
32 MICHOACÁN,3204 PATZCUARO
51 METRO PONIENTE,5106 NAUCALPAN
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
32 MICHOACÁN,3201 MORELIA
63 GOLFO,6305 CIUDAD DEL CARMEN
40 METRO ORIENTE,4005 ACOLMAN
21 HUASTECA,2104 ZACATECAS
60 PUEBLA,6002 PUEBLA
51 METRO PONIENTE,5101 CUAUHTEMOC
61 CHIAPAS,6102 TAPACHULA
41 METRO SURORIENTE,4107 XOCHIMILCO
31 JALISCO,3102 ZAPOPAN
61 CHIAPAS,6104 JUCHITAN
20 NORESTE,2004 SAN PEDRO GARZA
52 VALLE DE TOLUCA,5201 TOLUCA
20 NORESTE,2004 SAN PEDRO GARZA
51 METRO PONIENTE,5105 TECAMAC
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
30 COSTA OCCIDENTE,3004 COLIMA
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
20 NORESTE,2008 MARTINEZ DE LA TORRE
51 METRO PONIENTE,5101 CUAUHTEMOC
11 PACIFICO,1101 LA PAZ
41 METRO SURORIENTE,4104 TLALPAN
33 BAJIO,3305 QUERÉTARO
51 METRO PONIENTE,5102 IZTACALCO
42 SUR,4203 CUAUTLA
41 METRO SURORIENTE,4103 COYOACAN
40 METRO ORIENTE,4004 TEXCOCO
33 BAJIO,3305 QUERÉTARO
33 BAJIO,3303 IRAPUATO
20 NORESTE,2004 SAN PEDRO GARZA
11 PACIFICO,1101 LA PAZ
50 METRO NORPONIENTE,5003 TLALNEPANTLA
52 VALLE DE TOLUCA,5201 TOLUCA
40 METRO ORIENTE,4002 NEZAHUALCOYOTL
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
32 MICHOACÁN,3202 URUAPAN
61 CHIAPAS,6104 JUCHITAN
40 METRO ORIENTE,4002 NEZAHUALCOYOTL
12 LAGUNA CHIHUAHUA,1202 TORREON
60 PUEBLA,6006 XALAPA
63 GOLFO,6304 HUIMANGUILLO
52 VALLE DE TOLUCA,5201 TOLUCA
20 NORESTE,2004 SAN PEDRO GARZA
10 FRONTERA OESTE,1002 MEXICALI
32 MICHOACÁN,3201 MORELIA
60 PUEBLA,6006 XALAPA
20 NORESTE,2004 SAN PEDRO GARZA
51 METRO PONIENTE,5102 IZTACALCO
60 PUEBLA,6002 PUEBLA
21 HUASTECA,2104 ZACATECAS
42 SUR,4201 CUERNAVACA
41 METRO SURORIENTE,4105 TLAHUAC
41 METRO SURORIENTE,4103 COYOACAN
41 METRO SURORIENTE,4104 TLALPAN
63 GOLFO,6305 CIUDAD DEL CARMEN
42 SUR,4204 QUECHULTENANGO
21 HUASTECA,2101 AGUASCALIENTES
21 HUASTECA,2104 ZACATECAS
21 HUASTECA,2105 TULA
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
41 METRO SURORIENTE,4101 IZTAPALAPA
10 FRONTERA OESTE,1001 TIJUANA
51 METRO PONIENTE,5104 HUIXQUILUCAN
50 METRO NORPONIENTE,5001 CUAUTITLAN IZCALLI
11 PACIFICO,1104 TEPIC
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
50 METRO NORPONIENTE,5003 TLALNEPANTLA
52 VALLE DE TOLUCA,5204 TIANGUISTENCO
61 CHIAPAS,6101 TUXTLA
21 HUASTECA,2101 AGUASCALIENTES
21 HUASTECA,2107 TULANCINGO
42 SUR,4203 CUAUTLA
11 PACIFICO,1102 SINALOA
20 NORESTE,2005 ESCOBEDO
12 LAGUNA CHIHUAHUA,1203 JUAREZ
20 NORESTE,2004 SAN PEDRO GARZA
33 BAJIO,3304 CELAYA
40 METRO ORIENTE,4006 ECATEPEC
33 BAJIO,3305 QUERÉTARO
62 PENINSULA,6201 CANCUN
31 JALISCO,3102 ZAPOPAN
12 LAGUNA CHIHUAHUA,1202 TORREON
33 BAJIO,3304 CELAYA
31 JALISCO,3102 ZAPOPAN
52 VALLE DE TOLUCA,5204 TIANGUISTENCO
20 NORESTE,2005 ESCOBEDO
33 BAJIO,3304 CELAYA
33 BAJIO,3305 QUERÉTARO
52 VALLE DE TOLUCA,5204 TIANGUISTENCO
60 PUEBLA,6002 PUEBLA
21 HUASTECA,2101 AGUASCALIENTES
21 HUASTECA,2102 SAN LUIS POTOSÍ
62 PENINSULA,6202 CAMPECHE
21 HUASTECA,2101 AGUASCALIENTES
41 METRO SURORIENTE,4103 COYOACAN
11 PACIFICO,1101 LA PAZ
32 MICHOACÁN,3202 URUAPAN
30 COSTA OCCIDENTE,3002 JALISCO SUR
50 METRO NORPONIENTE,5001 CUAUTITLAN IZCALLI
11 PACIFICO,1101 LA PAZ
63 GOLFO,6303 VILLAHERMOSA
51 METRO PONIENTE,5103 BENITO JUAREZ
21 HUASTECA,2107 TULANCINGO
50 METRO NORPONIENTE,5001 CUAUTITLAN IZCALLI
20 NORESTE,2008 MARTINEZ DE LA TORRE
10 FRONTERA OESTE,1001 TIJUANA
32 MICHOACÁN,3201 MORELIA
21 HUASTECA,2105 TULA
11 PACIFICO,1102 SINALOA
33 BAJIO,3303 IRAPUATO
62 PENINSULA,6205 PLAYA DEL CARMEN
30 COSTA OCCIDENTE,3004 COLIMA
30 COSTA OCCIDENTE,3004 COLIMA
10 FRONTERA OESTE,1001 TIJUANA
11 PACIFICO,1102 SINALOA
42 SUR,4204 QUECHULTENANGO
21 HUASTECA,2106 PACHUCA
20 NORESTE,2002 GUADALUPE
63 GOLFO,6304 HUIMANGUILLO
10 FRONTERA OESTE,1004 HERMOSILLO
61 CHIAPAS,6101 TUXTLA
50 METRO NORPONIENTE,5003 TLALNEPANTLA
41 METRO SURORIENTE,4101 IZTAPALAPA
60 PUEBLA,6006 XALAPA
20 NORESTE,2002 GUADALUPE
52 VALLE DE TOLUCA,5203 LERMA
31 JALISCO,3103 GUADALAJARA
61 CHIAPAS,6104 JUCHITAN
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
21 HUASTECA,2102 SAN LUIS POTOSÍ
62 PENINSULA,6203 MERIDA
32 MICHOACÁN,3203 ZACAPU
32 MICHOACÁN,3203 ZACAPU
21 HUASTECA,2101 AGUASCALIENTES
21 HUASTECA,2102 SAN LUIS POTOSÍ
50 METRO NORPONIENTE,5004 COACALCO
41 METRO SURORIENTE,4104 TLALPAN
42 SUR,4202 JIUTEPEC
60 PUEBLA,6002 PUEBLA
20 NORESTE,2004 SAN PEDRO GARZA
60 PUEBLA,6006 XALAPA
61 CHIAPAS,6102 TAPACHULA
32 MICHOACÁN,3202 URUAPAN
10 FRONTERA OESTE,1004 HERMOSILLO
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
20 NORESTE,2006 TAMPICO
63 GOLFO,6304 HUIMANGUILLO
40 METRO ORIENTE,4004 TEXCOCO
62 PENINSULA,6205 PLAYA DEL CARMEN
41 METRO SURORIENTE,4105 TLAHUAC
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
20 NORESTE,2001 REYNOSA
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
11 PACIFICO,1104 TEPIC
21 HUASTECA,2103 SAN LUIS FORANEO
60 PUEBLA,6004 VERACRUZ
62 PENINSULA,6204 UMAN
63 GOLFO,6302 COATZACOALCOS
63 GOLFO,6302 COATZACOALCOS
30 COSTA OCCIDENTE,3003 OCOTLAN
42 SUR,4206 PUNGARABATO
61 CHIAPAS,6102 TAPACHULA
33 BAJIO,3301 LEON
61 CHIAPAS,6102 TAPACHULA
60 PUEBLA,6006 XALAPA
10 FRONTERA OESTE,1002 MEXICALI
62 PENINSULA,6203 MERIDA
63 GOLFO,6305 CIUDAD DEL CARMEN
52 VALLE DE TOLUCA,5204 TIANGUISTENCO
42 SUR,4205 ACAPULCO
33 BAJIO,3303 IRAPUATO
41 METRO SURORIENTE,4105 TLAHUAC
60 PUEBLA,6004 VERACRUZ
60 PUEBLA,6006 XALAPA
51 METRO PONIENTE,5101 CUAUHTEMOC
40 METRO ORIENTE,4005 ACOLMAN
12 LAGUNA CHIHUAHUA,1203 JUAREZ
21 HUASTECA,2103 SAN LUIS FORANEO
42 SUR,4207 TLACOLULA
41 METRO SURORIENTE,4102 ALVARO OBREGON
51 METRO PONIENTE,5104 HUIXQUILUCAN
41 METRO SURORIENTE,4106 CHALCO
31 JALISCO,3102 ZAPOPAN
32 MICHOACÁN,3201 MORELIA
42 SUR,4202 JIUTEPEC
20 NORESTE,2007 POZA RICA
60 PUEBLA,6003 ZACAPOAXTLA
31 JALISCO,3105 TLAQUEPAQUE
20 NORESTE,2007 POZA RICA
20 NORESTE,2001 REYNOSA
41 METRO SURORIENTE,4101 IZTAPALAPA
40 METRO ORIENTE,4002 NEZAHUALCOYOTL
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
51 METRO PONIENTE,5105 TECAMAC
52 VALLE DE TOLUCA,5203 LERMA
30 COSTA OCCIDENTE,3003 OCOTLAN
60 PUEBLA,6002 PUEBLA
31 JALISCO,3104 TONALA
21 HUASTECA,2103 SAN LUIS FORANEO
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
50 METRO NORPONIENTE,5003 TLALNEPANTLA
52 VALLE DE TOLUCA,5202 VALLE DE BRAVO
12 LAGUNA CHIHUAHUA,1203 JUAREZ
30 COSTA OCCIDENTE,3004 COLIMA
63 GOLFO,6305 CIUDAD DEL CARMEN
63 GOLFO,6302 COATZACOALCOS
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
41 METRO SURORIENTE,4107 XOCHIMILCO
52 VALLE DE TOLUCA,5203 LERMA
52 VALLE DE TOLUCA,5207 TEXMELUCAN
42 SUR,4201 CUERNAVACA
33 BAJIO,3305 QUERÉTARO
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
42 SUR,4201 CUERNAVACA
21 HUASTECA,2102 SAN LUIS POTOSÍ
11 PACIFICO,1101 LA PAZ
12 LAGUNA CHIHUAHUA,1205 COAHUILA
61 CHIAPAS,6101 TUXTLA
60 PUEBLA,6005 ORIZABA
30 COSTA OCCIDENTE,3003 OCOTLAN
